Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
57	10.401979	4.6285625	25.738754	-7.3612013	10.0	83.41531	10.440479	124.81234	65.178856	1450000	-0.018289296	24.559122	-0.060100056	-11.604384	2.5564492	2.0864441	0.55824	99.0	92234.07124400139
58	10.237964	4.645319	26.226418	-7.099384	10.0	85.11569	10.2999735	124.329575	66.31978	1475000	-0.06530346	19.38729	-0.00921905	-6.977318	2.315159	1.9809232	0.5472	99.0	93818.33039021492
59	10.452141	4.94666	28.583235	-10.666851	10.0	88.3343	8.87292	128.26353	68.33164	1500000	0.4069339	21.304754	-0.47999454	-8.318837	2.27302	2.2562127	0.56004	99.0	95394.3281879425
60	10.286757	4.943259	29.235258	-6.510857	10.0	88.11443	8.567014	124.37953	65.60294	1525000	-0.04659204	18.987194	-0.026286453	-6.9623537	2.4952657	2.2024002	0.57096	99.0	96981.27757000923
61	10.583208	4.9371696	27.320004	-5.7364297	10.0	89.0569	8.984246	129.03311	66.658066	1550000	-0.0630866	18.689758	-0.013360962	-6.0826883	2.5483844	2.1248894	0.58264	99.0	98560.11395597458
62	10.404819	4.7783713	33.101295	-8.731203	10.0	89.33143	8.312979	132.1457	66.33192	1575000	0.7202978	21.857445	-0.78574544	-8.45728	2.46679	3.0094032	0.59792	99.0	100131.15948534012
63	10.771677	5.0949883	28.93004	-7.117143	10.0	91.434105	9.578251	132.81577	67.29034	1600000	-0.025118643	19.928389	-0.03829606	-7.3354883	4.2020974	3.7335887	0.5826	99.0	101703.0597088337
64	10.03093	4.8218255	27.458288	-6.305962	10.0	92.048386	7.8822107	129.97351	67.81093	1625000	-0.027617153	22.83584	-0.044982214	-8.908574	5.4193954	4.38212	0.5958	99.0	103283.32369661331
65	9.378737	4.795612	23.921434	-8.674741	10.0	93.48462	7.478434	126.046486	68.316956	1650000	-0.0032123632	20.041668	-0.06013015	-6.9647417	4.7969146	3.904045	0.5956	99.0	104866.67345404625
66	10.403644	5.0941167	29.89751	-4.930173	10.0	94.67394	8.711778	136.15198	70.45778	1675000	0.027788803	20.194302	-0.10014445	-6.347471	4.0308795	3.7177868	0.59312	99.0	106462.85660815239
67	10.1376295	4.9170647	29.914486	-6.978725	10.0	95.073074	7.5790854	136.14117	67.97063	1700000	-0.042048037	19.312763	-0.028181411	-6.5539284	3.9898455	3.5660644	0.56804	99.0	108080.40939998627
68	10.871317	5.0323076	32.174103	-7.770829	10.0	95.55419	9.033892	133.43633	69.763176	1725000	-0.054755464	21.001286	-0.01923301	-8.452258	3.413379	3.101845	0.55292	99.0	109723.08592247963
69	10.1319275	5.1160774	27.861795	-5.4981294	10.0	92.80545	10.161014	130.98088	65.16035	1750000	-0.055158038	22.96645	-0.020718936	-9.037552	3.5917685	3.0239387	0.58212	99.0	111386.09489941597
70	10.960862	5.0117593	31.18966	-5.7047634	10.0	92.195786	11.151132	134.30946	60.217438	1775000	-0.051767524	20.872223	-0.025368217	-7.3784256	3.185806	2.9546106	0.57816	99.0	113059.47101902962
71	9.678493	4.9247503	27.661757	-8.164683	10.0	90.20273	10.116885	125.85208	61.03374	1800000	0.042008847	21.436195	-0.11754133	-8.119139	3.3850384	3.2502506	0.58064	99.0	114703.3808825016
72	10.4904	5.25481	28.378267	-6.6342316	10.0	90.53148	11.269596	136.73856	61.500774	1825000	-0.06072574	22.320358	-0.014804758	-8.358721	3.569143	3.138061	0.54636	99.0	116357.84061098099
73	10.240976	4.8293896	27.504667	-7.6407585	10.0	91.024414	9.704558	133.87657	65.53913	1850000	-0.03941844	22.61818	-0.035725836	-9.136806	3.4068582	3.1349487	0.55796	99.0	118004.7809972763
74	10.528298	4.907171	25.946608	-6.424481	10.0	90.5944	10.753389	134.34003	66.01221	1875000	-0.041951507	20.062378	-0.034488432	-7.1667433	3.2651088	3.0755093	0.55152	99.0	119657.46174526215
