Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
53	0.51192	0.4998579	1.0	0.0	1.0	0.49875736	0.8652776	2.000262	-0.016361576	1350000	-0.12627886	4.541006e-06	-0.0026846975	-5.008219e-07	2.2341611	0.085311085	0.85108	0.0	13926.798430204391
54	0.51628	0.49973488	1.0	0.0	1.0	0.5067502	0.8699041	2.0011322	-0.0146052055	1375000	-0.12698677	4.3136824e-06	-0.0025241822	-4.2116608e-07	2.2355227	0.09987068	0.85632	0.0	14167.91096663475
55	0.50776	0.49993977	1.0	0.0	1.0	0.49966374	0.8657459	2.0019217	-0.012117932	1400000	-0.1273227	4.1813696e-06	-0.0026290566	-4.898095e-07	2.2533622	0.13840654	0.85832	0.0	14410.96011018753
56	0.50916	0.49991608	1.0	0.0	1.0	0.49598676	0.86348325	2.0000017	-0.012703095	1425000	-0.12835078	3.949376e-06	-0.0025369972	-4.2354395e-07	2.2574232	0.1565667	0.8656	0.0	14657.108103275299
57	0.52052	0.49957874	1.0	0.0	1.0	0.50544274	0.8687613	1.9997307	-0.0127278995	1450000	-0.12860627	3.667232e-06	-0.002379924	-1.2580358e-07	2.2408729	0.16938633	0.86052	0.0	14904.720406770706
58	0.52148	0.4995384	1.0	0.0	1.0	0.51059765	0.871687	1.9983277	-0.01351149	1475000	-0.12978578	3.772398e-06	-0.0019925386	-5.1391225e-07	2.2410986	0.2019272	0.86404	0.0	15151.869243144989
59	0.51904	0.49963737	1.0	0.0	1.0	0.50590926	0.869119	1.9991857	-0.011639881	1500000	-0.12937765	3.442788e-06	-0.0015782565	-4.17298e-07	2.2465441	0.23843789	0.86248	0.0	15393.929855585098
60	0.52156	0.49953493	1.0	0.0	1.0	0.50892943	0.8706575	1.9981965	-0.012198444	1525000	-0.12770574	3.1951574e-06	-0.0013004094	-3.8321832e-07	2.2311127	0.26617163	0.85156	0.0	15652.592444181442
61	0.53656	0.49866155	1.0	0.0	1.0	0.52242416	0.87786376	1.9992317	-0.0113901375	1550000	-0.12692459	2.9015744e-06	-0.0012936294	-2.4477413e-07	2.187507	0.2727839	0.84112	0.0	15894.629446268082
62	0.53784	0.49856606	1.0	0.0	1.0	0.5265769	0.8799114	1.9982989	-0.0108478265	1575000	-0.12652303	2.7490228e-06	-0.0014241934	3.820969e-08	2.1716866	0.30358103	0.83268	0.0	16137.201496124268
63	0.541	0.49831617	1.0	0.0	1.0	0.5275408	0.8807239	1.9976319	-0.012554199	1600000	-0.12497722	2.8504032e-06	-0.0014636442	-3.2808725e-07	2.153603	0.34708452	0.81996	0.0	16378.519909620285
64	0.55164	0.49732617	1.0	0.0	1.0	0.5341945	0.8840786	1.9984436	-0.010928965	1625000	-0.12465889	2.736197e-06	-0.0011766627	-4.6023024e-07	2.1204605	0.34322727	0.80692	0.0	16619.475758314133
65	0.53656	0.49866155	1.0	0.0	1.0	0.52629465	0.8793892	1.9969791	-0.009627399	1650000	-0.1231564	2.3582897e-06	-0.0015656352	-2.8349814e-07	2.1462543	0.4056761	0.7986	0.0	16861.541097164154
66	0.54448	0.49801764	1.0	0.0	1.0	0.5286167	0.88068175	1.9975888	-0.0094983075	1675000	-0.1229451	2.1521216e-06	-0.0014809817	-2.4164683e-07	2.1034615	0.41782817	0.78644	0.0	17114.016102075577
67	0.55112	0.49737993	1.0	0.0	1.0	0.5375351	0.8854091	1.9979668	-0.00963856	1700000	-0.122271135	2.0049167e-06	-0.0015116706	1.8031174e-06	2.069011	0.43343356	0.77676	0.0	17369.42890071869
68	0.55756	0.49667582	1.0	0.0	1.0	0.54387337	0.88884145	1.9985657	-0.010186048	1725000	-0.119711325	3.9686083e-06	-0.0016408861	-1.9914246e-06	2.0258522	0.44981667	0.75632	0.0	17618.85047507286
69	0.55824	0.49659652	1.0	0.0	1.0	0.540683	0.8869593	1.9970789	-0.0106060095	1750000	-0.12047396	2.1090173e-06	-0.0016928986	-3.597671e-07	2.0295446	0.46391788	0.753	0.0	17871.104465723038
70	0.55392	0.49708414	1.0	0.0	1.0	0.5405092	0.8866171	1.9968126	-0.009061961	1775000	-0.12080492	1.869732e-06	-0.0016641244	-2.3382802e-07	2.039182	0.5341806	0.74216	0.0	18141.0164103508
71	0.53928	0.4984547	1.0	0.0	1.0	0.5180667	0.87492776	1.9975747	-0.010332811	1800000	-0.11915344	1.7013946e-06	-0.0017393753	-1.8654362e-07	2.0687554	0.5985303	0.7358	0.0	18388.116059541702
72	0.5676	0.4954092	1.0	0.0	1.0	0.5508127	0.8920447	1.9967799	-0.008646323	1825000	-0.118943915	1.5539831e-06	-0.0018125102	-1.6981369e-07	1.9879297	0.5747222	0.71572	0.0	18639.909939289093
73	0.5588	0.49653053	1.0	0.0	1.0	0.5458977	0.8892966	1.9966768	-0.009034968	1850000	-0.11645979	1.5010694e-06	-0.0018370673	-1.5179273e-07	2.013158	0.6393194	0.7126	0.0	18887.965392112732
74	0.55196	0.49729285	1.0	0.0	1.0	0.5355939	0.8841451	1.9965383	-0.00850245	1875000	-0.11870282	1.4649636e-06	-0.0016462505	-1.275738e-07	2.048882	0.6804858	0.72132	0.0	19137.27774834633
75	0.55264	0.4972213	1.0	0.0	1.0	0.5410367	0.8866775	1.996901	-0.00865533	1900000	-0.11761641	1.4153685e-06	-0.001729846	-7.110032e-08	2.0408993	0.71254313	0.7138	0.0	19381.991518735886
76	0.57884	0.49374518	1.0	0.0	1.0	0.5675373	0.8998883	1.9961698	-0.00811162	1925000	-0.11290733	1.3933587e-06	-0.0020018145	-6.340554e-08	1.9451199	0.70588404	0.6756	0.0	19629.23385977745
77	0.55336	0.49714452	1.0	0.0	1.0	0.53814256	0.88504046	1.9965837	-0.008583529	1950000	-0.113783434	1.4435534e-06	-0.0018009767	-2.7034548e-07	2.0318074	0.802645	0.68984	0.0	19875.190539598465
78	0.56344	0.49595904	1.0	0.0	1.0	0.5487023	0.8907118	1.9985205	-0.009625961	1975000	-0.11427975	1.2059796e-06	-0.0016479194	-3.5925382e-08	1.9956245	0.81872267	0.67188	0.0	20120.731046676636
79	0.56972	0.49511525	1.0	0.0	1.0	0.5571685	0.89481276	1.995482	-0.008456554	2000000	-0.11103804	1.2145167e-06	-0.002178222	-1.8045819e-07	1.9668864	0.863813	0.65644	0.0	20370.142308950424
80	0.57448	0.49442157	1.0	0.0	1.0	0.56103	0.8965868	1.9958165	-0.007634705	2025000	-0.10897705	1.0826695e-06	-0.0015169531	-1.2678765e-07	1.950858	0.9035982	0.63648	0.0	20632.935000658035
81	0.54164	0.4982631	1.0	0.0	1.0	0.52681994	0.8790752	1.9955709	-0.007363789	2050000	-0.11079916	1.0628489e-06	-0.0014682561	-1.2411084e-07	2.0891676	1.0125458	0.67292	0.0	20886.774101257324
82	0.56036	0.4963433	1.0	0.0	1.0	0.5485131	0.89024436	1.9966165	-0.00806511	2075000	-0.109553635	9.932646e-07	-0.0012428313	1.16533556e-07	2.0411325	1.0084462	0.6604	0.0	21152.978652238846
83	0.58652	0.49245742	1.0	0.0	1.0	0.5724006	0.90201724	1.9963624	-0.007570768	2100000	-0.10172348	1.1619264e-06	-0.0012492165	-2.9463422e-08	1.9464113	1.0107511	0.61856	0.0	21418.538613319397
84	0.5716	0.4948469	1.0	0.0	1.0	0.5597304	0.8958553	1.9963456	-0.008551817	2125000	-0.10412584	1.208594e-06	-0.0011529252	-2.887731e-07	2.0424423	1.1155789	0.62584	0.0	21686.728124141693
